Item Number,Picture URL,Name,Description,CTN,QTY per CTN,Unit Price EUR,Product URL,Image URL,Notes,Price CNY,FX Rate,Markup %
1,https://via.placeholder.com/150,LED Bulb E27 12W 220V,Energy Saving Warm White LED Light Bulb,100,500,3.50,https://1688.com/product/led-bulb-e27,https://via.placeholder.com/150,MOQ: 10000 pcs | Lead time: 15 days,100.00,7.8,25
2,https://via.placeholder.com/150,USB Cable Type-C 2m,Fast Charging Nylon Braided USB-C Cable,50,1000,1.85,https://1688.com/product/usb-cable-typec,https://via.placeholder.com/150,Available in Black/White/Red | CE certified,45.00,7.8,30
3,https://via.placeholder.com/150,Wireless Mouse 2.4GHz,Ergonomic Optical Mouse Silent Click,30,200,4.20,https://1688.com/product/wireless-mouse,https://via.placeholder.com/150,Battery included | 6 button design,98.00,7.8,28
4,https://via.placeholder.com/150,Power Bank 20000mAh,Dual USB Fast Charge Portable Charger,20,100,8.50,https://1688.com/product/power-bank-20k,https://via.placeholder.com/150,CE/FCC/RoHS | Display screen,210.00,7.8,25
5,https://via.placeholder.com/150,Phone Holder Car Mount,360Â° Rotation Dashboard Phone Holder,40,500,2.10,https://1688.com/product/phone-holder,https://via.placeholder.com/150,Universal fit | Strong suction,50.00,7.8,22
6,https://via.placeholder.com/150,Bluetooth Speaker Portable,Waterproof IPX7 Wireless Speaker 10W,25,200,6.80,https://1688.com/product/bluetooth-speaker,https://via.placeholder.com/150,10h battery | TF card support,165.00,7.8,27
7,https://via.placeholder.com/150,Smart Watch Fitness Tracker,Heart Rate Blood Pressure Monitor,15,100,12.50,https://1688.com/product/smart-watch,https://via.placeholder.com/150,IP68 waterproof | Multiple sports modes,305.00,7.8,26
8,https://via.placeholder.com/150,Earbuds TWS Bluetooth 5.0,True Wireless Stereo Earphones with Case,35,200,7.20,https://1688.com/product/tws-earbuds,https://via.placeholder.com/150,Touch control | 20h playtime,175.00,7.8,28
9,https://via.placeholder.com/150,Laptop Stand Aluminum,Adjustable Ergonomic Notebook Riser,12,50,9.50,https://1688.com/product/laptop-stand,https://via.placeholder.com/150,Fits 10-17 inch | Heat dissipation,230.00,7.8,24
10,https://via.placeholder.com/150,USB Hub 7 Ports 3.0,High Speed Data Transfer Hub with Switch,18,100,5.40,https://1688.com/product/usb-hub-7port,https://via.placeholder.com/150,Individual switches | LED indicators,128.00,7.8,29